"","int_pos","var_name","x","label","length","decimal_places","fin_pos","col_type","CHAR"
"1",3,"rm","2.",NA,2,0,4,"i",FALSE
"2",5,"uf","2.",NA,2,0,6,"i",FALSE
"3",7,"seq","3.",NA,3,0,9,"i",FALSE
"4",10,"digito","1.",NA,1,0,10,"i",FALSE
"5",11,"domicilio","2.",NA,2,0,12,"i",FALSE
"6",5,"domicilioID","8.",NA,8,0,12,"i",FALSE
"7",13,"uniconsumo","1.",NA,1,0,13,"i",FALSE
"8",5,"uniconsumoID","9.",NA,2,0,13,"i",FALSE
"9",14,"coddespesa","4.",NA,4,0,17,"i",FALSE
"10",18,"dvdespesa","1.",NA,1,0,18,"i",FALSE
"11",19,"valoritem","10.",NA,10,2,28,"d",FALSE
"12",29,"mesdogasto","2.",NA,2,0,30,"i",FALSE
"13",31,"numdemes","1.",NA,1,0,31,"i",FALSE
"14",32,"deflator","4.",NA,4,2,35,"d",FALSE
"15",36,"codcritica","2.",NA,2,0,37,"i",FALSE
"16",38,"codimputacao","2.",NA,2,0,39,"i",FALSE
"17",40,"fatoranual","3.",NA,3,0,42,"i",FALSE
"18",43,"valordefl","10.",NA,10,2,52,"d",FALSE
"19",53,"valanualiz","10.",NA,10,2,62,"d",FALSE
"20",64,"valorexp1","15.",NA,15,2,77,"d",FALSE
"22",78,"valorexp2","15.",NA,15,2,92,"d",FALSE


