"","int_pos","var_name","x","label","length","decimal_places","fin_pos","col_type","CHAR"
"1",3,"rm","2.",NA,2,0,4,"i",FALSE
"2",5,"uf","2.",NA,2,0,6,"i",FALSE
"3",7,"seq","3.",NA,3,0,9,"i",FALSE
"4",10,"digito","1.",NA,1,0,10,"i",FALSE
"5",11,"domicilio","2.",NA,2,0,12,"i",FALSE
"6",5,"domicilioID","8.",NA,8,0,12,"i",FALSE
"7",13,"uniconsumo","1.",NA,1,0,13,"i",FALSE
"8",5,"uniconsumoID","9.",NA,2,0,13,"i",FALSE
"9",14,"informante","2.",NA,2,0,15,"i",FALSE
"10",16,"coditem","4.",NA,4,0,19,"i",FALSE
"11",20,"dvitem","1.",NA,1,0,20,"i",FALSE
"12",21,"estadoitem","1.",NA,1,0,21,"i",FALSE
"13",22,"mesdacompra","2.",NA,2,0,23,"i",FALSE
"14",24,"anodacompra","2.",NA,2,0,25,"i",FALSE
"15",26,"formadecompra","1.",NA,1,0,26,"i",FALSE
"16",27,"valoritem","10.",NA,10,2,36,"d",FALSE
"17",37,"localdecompra","2.",NA,2,0,38,"i",FALSE
"18",39,"deflator","4.",NA,4,2,42,"d",FALSE
"19",43,"codcritica","2.",NA,2,0,44,"i",FALSE
"20",45,"codimputacao","2.",NA,2,0,46,"i",FALSE
"22",47,"fatoranualiz","3.",NA,3,0,49,"d",FALSE
"23",50,"valordefl","10.",NA,10,2,59,"d",FALSE
"24",60,"valoranual","10.",NA,10,2,69,"d",FALSE
"25",70,"valorexp1","15.",NA,15,2,84,"d",FALSE
"26",85,"valorexp2","15.",NA,15,2,99,"d",FALSE




