"","int_pos","var_name","x","label","length","decimal_places","fin_pos","col_type","CHAR"
"1",3,"rm","2.",NA,2,0,4,"i",FALSE
"2",5,"uf","2.",NA,2,0,6,"i",FALSE
"3",7,"seq","3.",NA,3,0,9,"i",FALSE
"4",10,"digito","1.",NA,1,0,10,"i",FALSE
"5",11,"domicilio","2.",NA,2,0,12,"i",FALSE
"6",5,"domicilioID","8.",NA,8,0,12,"i",FALSE
"7",13,"uniconsumo","1.",NA,1,0,13,"i",FALSE
"8",5,"uniconsumoID","9.",NA,2,0,13,"i",FALSE
"9",14,"informante","2.",NA,2,0,15,"i",FALSE
"10",16,"coditem","4.",NA,4,0,19,"i",FALSE
"11",20,"dvitem","1.",NA,1,0,20,"i",FALSE
"12",21,"valoritem","10.",NA,10,2,30,"d",FALSE
"13",31,"localcompra","2.",NA,2,0,32,"i",FALSE
"14",33,"mesdogasto","2.",NA,2,0,34,"i",FALSE
"15",35,"deflator","4.",NA,4,2,38,"d",FALSE
"16",39,"codcritica","2.",NA,2,0,40,"i",FALSE
"17",41,"codimput","2.",NA,2,0,42,"d",FALSE
"18",43,"fatoranualiz","3.",NA,3,0,45,"i",FALSE
"19",46,"valordefl","10.",NA,10,2,55,"d",FALSE
"20",56,"valoranualiz","10.",NA,10,2,65,"d",FALSE
"22",66,"valorexp1","15.",NA,15,2,80,"d",FALSE
"23",81,"valorexp2","15.",NA,15,2,95,"d",FALSE





