"","int_pos","var_name","x","label","length","decimal_places","fin_pos","col_type","CHAR"
"1",3,"rm","2.",NA,2,0,4,"i",FALSE
"2",5,"uf","2.",NA,2,0,6,"i",FALSE
"3",7,"seq","3.",NA,3,0,9,"i",FALSE
"4",10,"digito","1.",NA,1,0,10,"i",FALSE
"5",11,"domicilio","2.",NA,2,0,12,"i",FALSE
"6",5,"domicilioID","8.",NA,8,0,12,"i",FALSE
"7",13,"uniconsumo","1.",NA,1,0,13,"i",FALSE
"8",5,"uniconsumoID","9.",NA,2,0,13,"i",FALSE
"9",14,"informante","2.",NA,2,0,15,"i",FALSE
"10",16,"coddespesa","4.",NA,4,0,19,"i",FALSE
"11",20,"dvdespesa","1.",NA,1,0,20,"i",FALSE
"12",21,"mesgasto","2.",NA,2,0,22,"i",FALSE
"13",23,"valoritem","10.",NA,10,2,32,"d",FALSE
"14",33,"deflator","4.",NA,4,2,36,"d",FALSE
"15",37,"codcritica","2.",NA,2,0,38,"i",FALSE
"16",39,"codimput","2.",NA,2,0,40,"i",FALSE
"17",41,"anualiz","3.",NA,3,0,43,"i",FALSE
"18",44,"valordefl","10.",NA,10,2,53,"d",FALSE
"19",54,"valoranualiz","10.",NA,10,2,63,"d",FALSE
"20",64,"valorexp1","15.",NA,15,2,78,"d",FALSE
"21",79,"valorexp2","15.",NA,15,2,93,"d",FALSE







