int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
3;rm;2.;NA;2;0;4;i;FALSE
5;uf;2.;NA;2;0;6;i;FALSE
7;seq;3.;NA;3;0;9;i;FALSE
10;digito;1.;NA;1;0;10;i;FALSE
11;domicilio;2.;NA;2;0;12;i;FALSE
13;uni.consumo;1.;NA;1;0;13;i;FALSE
14;informante;2.;NA;2;0;15;i;FALSE
16;codi.desp;4.;NA;4;0;19;i;FALSE
20;dv.cod.desp;1.;NA;1;0;20;i;FALSE
21;m.gasto;2.;NA;2;0;22;i;FALSE
23;n.meses;1.;NA;1;0;23;i;FALSE
24;ult.rece;10.;NA;10;2;33;d;FALSE
34;imp.renda;10.;NA;10;2;43;d;FALSE
44;prev.publica;10.;NA;10;2;53;d;FALSE
54;outras.ded;10.;NA;10;2;63;d;FALSE
64;defl.rend;4.;NA;4;2;67;d;FALSE
68;cod.critica;2.;NA;2;0;69;i;FALSE
70;cod.imput;2.;NA;2;0;71;i;FALSE
72;fator.anualiz;3.;NA;3;0;74;i;FALSE
75;val1deflrecb;10.;NA;10;2;84;d;FALSE
85;val1anurecb;10.;NA;10;2;94;d;FALSE
95;val1exp1recb;15.;NA;15;2;109;d;FALSE
110;val1exp2recb;15.;NA;15;2;124;d;FALSE
125;val2deflir;10.;NA;10;2;134;d;FALSE
135;val2anir;10.;NA;10;2;144;d;FALSE
145;val2expan1imp.renda;15.;NA;15;2;159;d;FALSE
160;val2expan2imp.renda;15.;NA;15;2;174;d;FALSE
175;val3.defl.prev.publ;10.;NA;10;2;184;d;FALSE
185;val3.anual.prev.publ.;10.;NA;10;2;194;d;FALSE
195;val3.exp1.prev.publ.;15.;NA;15;2;209;d;FALSE
210;val3.exp2.prev.publ;15.;NA;15;2;224;d;FALSE
225;val4.defl.out.ded;10.;NA;10;2;234;d;FALSE
235;val4.anual.out.ded;10.;NA;10;2;244;d;FALSE
245;val4.exp1.out.ded;15.;NA;15;2;259;d;FALSE
260;val4.exp2.out.ded;15.;NA;15;2;274;d;FALSE
